id,text
769,mary ewing outerbridge
770,bermuda
771,british
772,british army officer
773,american national
774,the first american national championship
775,an englishman
776,canadian i.
777,a silver cup
778,the single title
779,woodhouse
780,o.e woodhouse
781,a doubles match
782,a local pair
783,new york
784,boston
785,the united states national lawn tennis association
786,competition
787,21 may 1881
788,lawn tennis association
789,national men 's singles championship
790,the newport casino
791,newport
792,national women 's singles championships
793,philadelphia
794,a serve
795,", more formally , a "" service"
796,a shot
797,a rarity
798,under-
799,overhand
800,two more additional serf
801,the correct diagonal box
802,"a "" let"
803,a let
804,the second serve
805,the davis cup
806,1900
807,the analogous competition
808,woman 's national team
809,the federation cup
810,a winning shot
811,-PRON- serve
812,some server
813,content
814,the point
815,"an "" ace"
816,a win serve
817,equipment
818,part
819,the appeal
820,the simplicity
821,beginner
822,only a racket
823,the follow player
824,at least five
825,at least five single title
826,a legal service
827,a rally
828,the server 's court
829,any fixture
830,a legal return
831,the opposite side
832,the other side
833,the start
834,a new point
835,the first set
836,serious play
837,new ball
838,a reminder
839,the first serve
840,9
841,9 -11 style
842,fed cup
843,itf tournament
844,augurio perera
845,basque
846,the basque ball game
847,pelota
848,perera
849,birmingham
850,perera 's croquet lawn
851,a game
852,element
853,harry gem
854,racquet
855,combine element
856,the world 's first tennis club
857,a frequent topic
858,discussion
859,commentator
860,the great male single player
861,associated press
862,1950
863,an associated press poll
864,bill tilden
865,tilden
866,single title
867,the grand slam
868,six
869,six consecutive major title
870,the first person
871,all four major single title
872,donald budge
873,the same calendar year
874,budge
875,jack kramer
876,consistent play
877,kramer
878,consideration
879,some observer
880,amateur and professional tennis
881,the good male champion
882,tony trabert
883,net service
884,a let or net service
885,the server retake
886,land
887,the service box
888,void
889,let
890,a fault
891,a player 's foot
892,an extension
893,the center mark
894,the second service
895,the server double fault
896,french tennis player
897,exhibition match
898,pyle
899,the first professional tennis tour
900,american
901,american tennis player
902,audience
903,these early professional
904,frenchwoman
905,suzanne lenglen
906,the frenchwoman suzanne lenglen
907,vinnie richards
908,the american vinnie richards
909,the major ( amateur ) tournament
910,pro -PRON-
911,muscle
912,the most common injury
913,the lengthened muscle
914,the occurrence
915,muscle strain
916,an isolated large - energy
917,the muscle contraction
918,the same time
919,body weight
920,huge amount
921,pressure
922,overuse
923,tendon
924,ligament
925,cartilage
926,future tournaments
927,"15,000"
928,"between us$ 10,000"
929,the point count
930,the overall score
931,-PRON- skill level
932,a rating
933,competitive match
934,a person
935,sanction play
936,the national tennis rating program
937,between 1.0 and 7.0
938,1/2
939,point increment
940,the united states tennis association
941,3.0 -4.5
942,3.0 -4.5 while world class player
943,3.0 - 4.5
944,world class player
945,7.0
946,this scale
947,average club player
948,van alen
949,the international tennis hall
950,fame
951,the building
952,a hall
953,prominent tennis player
954,prominent member
955,a large collection
956,tennis memorabilia
957,hall of fame
958,an induction ceremony
959,new hall
960,fame member
961,-PRON- ground
962,a grass court tournament
963,opposite side
964,the oppose player
965,the choice
966,receiver
967,the first game
968,end
969,-PRON- side
970,another distinguish feature
971,the world 's top player
972,invitation
973,other player
974,the world 's top qualifier
975,this draw
976,32
977,32 seeded player
978,the woman
979,grand slam man 's tournament
980,good - of - five set match
981,the other
982,indian
983,the miami masters
984,the indian wells masters
985,the small number
986,any kind
987,communication
988,instruction
989,advice
990,tennis ball
991,feather
992,cloth strip
993,modern tennis ball
994,hollow vulcanized rubber
995,the predominant colour
996,regulation play
997,certain criterion
998,bounce
999,deformation
1000,weight
1001,size
1002,the official diameter
1003,59.4 gram
1004,between 56.0 gram
1005,56.0 gram
1006,europe
1007,the united states
1008,place
1009,the process
1010,the relocation
1011,cheap material
1012,the region
1013,cheap labour cost
1014,pete sampras
1015,-PRON- contemporary
1016,the good service returner
1017,a number
1018,critic
1019,fellow player
1020,an era
1021,the first man
1022,slam
1023,all modern surface
1024,previous holder
1025,all slam
1026,thousand
1027,a breakdown
1028,front
1029,fan
1030,depression
1031,experience player
1032,-PRON- placement
1033,the conventional overhand
1034,-PRON- power
1035,different type
1036,american twist
1037,the spin direction
1038,right-
1039,left - handedness
1040,a manner
1041,walter clopton wingfield
1042,major walter clopton wingfield
1043,a court
1044,the modern tennis court
1045,-PRON- design
1046,the hourglass shape
1047,a rectangle
1048,this template
1049,1875
1050,the court design
1051,major change
1052,the tour
1053,each tournament
1054,the masters series
1055,"the "" master"
1056,the monte carlo masters
1057,the series
1058,a mandatory player commitment
1059,the hamburg masters
1060,500 - point event
1061,a 500-point event
1062,the madrid masters
1063,clay court
1064,may
1065,shanghai
1066,a new tournament
1067,madrid
1068,october
1069,madrid 's former indoor october slot
1070,one person
1071,a double team
1072,three player
1073,the alley
1074,the single player
1075,the double team
1076,the scoring
1077,a regular game
1078,this format
1079,any official body
1080,the hit area
1081,the string
1082,zero
1083,score
1084,love
1085,at least three
1086,at least three point
1087,""" deuce"
1088,forty - forty
1089,one more point
1090,the lead
1091,the serve player
1092,the receive player
1093,gonzales
1094,lew
1095,lew 's game
1096,-PRON- peak
1097,nobody
1098,hoad
1099,-PRON- game
1100,the good game
1101,more shot
1102,anybody
1103,the most natural tennis mind
1104,32 inch
1105,the maximum length
1106,the frame
1107,29 inch
1108,a different court
1109,a rain delay
1110,darkness
1111,other external condition
1112,the final authority
1113,tennis rule
1114,the umpire 's decision
1115,a question
1116,fact
1117,the tennis rule
1118,( question
1119,law
1120,a chair umpire
1121,a non - neutral country
1122,the chair
1123,japanese manga series
1124,rival school
1125,the tennis prodigy
1126,length
1127,more than 29 inch
1128,73.66 cm
1129,grotesquerie
1130,enfield tennis academy
1131,"the fictional "" enfield tennis academy"
1132,infinite jest
1133,freedom
1134,choice
1135,artistry
1136,michael joyce
1137,tennis player michael joyce
1138,david foster wallace
1139,six game
1140,the lead player
1141,that game
1142,7 - 5
1143,the trail player
1144,a tie - break
1145,a separate set
1146,rule
1147,7 - 6
1148,the set
1149,a final set score
1150,one more game
1151,the loser
1152,zero game
1153,usa
1154,a ' jam donut
1155,the usa
1156,british army
1157,sphairistikè
1158,united kingdom
1159,evans
1160,turfgrass agronomist
1161,godfrey
1162,honor godfrey
1163,wingfield
1164,the credit
1165,sport historian
1166,the development
1167,a box set
1168,pole
1169,marketing
1170,very good connection
1171,the clergy
1172,the law profession
1173,the aristocracy
1174,graf
1175,steffi
1176,the great woman 's tennis player
1177,billie jean king
1178,expert
1179,the associated press
1180,the 20th century
1181,a panel
1182,steve flink
1183,tennis writer steve flink
1184,the width
1185,the short mark
1186,the center
1187,each baseline
1188,either the hash mark
1189,the outermost line
1190,the length
1191,the doubles sideline
1192,the boundary
1193,sideline
1194,the inside
1195,the area
1196,a double sideline
1197,the near single sideline
1198,the double alley
1199,double play
1200,the receive side
1201,a player 's side
1202,mid - air
1203,a volley
1204,the swinging volley
1205,the air
1206,an offensive shot
1207,preparation time
1208,the game 's ancient origin
1209,12th century
1210,northern france
1211,historian
1212,12th century northern france
1213,the palm
1214,the hand
1215,louis
1216,louis x
1217,a keen player
1218,"indoor , enclose court"
1219,paris
1220,playing
1221,this design
1222,royal palace
1223,a large quantity
1224,cool wine
1225,history
1226,history 's first tennis player
1227,name
1228,the louvre palace
1229,charles v
1230,king charles v
1231,the early enthusiast
1232,people
1233,a wheelchair
1234,mobility
1235,able - bodied player
1236,this rule
1237,able - bodied match
1238,mix wheelchair
1239,a wheelchair player
1240,an able - bodied player
1241,the extra bounce
1242,the wheelchair user
1243,woody allen
1244,woody allen 's
1245,match point
1246,woody allen 's match point
1247,jonathan rhys meyers
1248,a love affair
1249,a former tennis pro
1250,-PRON- good friend 's fiance
1251,all level
1252,all age
1253,society
1254,an olympic sport
1255,anyone
1256,a racket
1257,wheelchair user
1258,the modern game
1259,close connection
1260,various field
1261,""" lawn "" ) game"
1262,bowl
1263,croquet
1264,the old racket sport
1265,eugene de vere
1266,lord eugene de vere
1267,the term
1268,hampton court
1269,"the term "" tennis"
1270,a popular worldwide spectator sport
1271,million
1272,hard court
1273,grass court
1274,red clay court
1275,"the "" major"
1276,only one
1277,only one more point
1278,a game point
1279,the terminology
1280,to set
1281,a score
1282,three consecutive chance
1283,a triple game point
1284,triple set point
1285,tournament play
1286,game point
1287,official scoring
1288,elizabeth ii
1289,queen elizabeth ii
1290,owen finlay maclaren
1291,mbe
1292,1907 - 13
1293,maclaren
1294,the inventor
1295,the lightweight baby buggy
1296,founder
1297,the maclaren company
1298,a collapsible support assembly
1299,saffron walden
1300,essex
1301,-PRON- family
1302,the clan maclaren
1303,argyll
1304,-PRON- daughter
1305,strida
1306,the design
1307,future collapsible object
1308,the strida bicycle
1309,-PRON- knowledge
1310,"lightweight , collapsible structure"
1311,a new generation
1312,infant transport
1313,1965
1314,-PRON- first buggy
1315,-PRON- medieval farmhouse stable
1316,barby
1317,northamptonshire
1318,rugby
1319,lightweight aluminium tube
1320,patent no
1321,a patent
1322,an american patent
1323,a daughter
1324,a son
1325,marie
1326,the modern version
1327,the ' baby buggy
1328,50
1329,over 50 country
1330,the maclaren brand
1331,long buckby
1332,over 50
1333,maclaren undercarriage company ltd.
1334,maclaren undercarriage company
1335,west drayton
1336,spitfire
1337,the spitfire
1338,aircraft
1339,the company
1340,aircraft component
1341,aeronautical design
1342,tube
1343,other household equipment
1344,the buggy
1345,sale
1346,disability
1347,a large folding buggy
1348,large child
1349,the ' buggy major ' this buggy
1350,square tube
1351,the usual round tube
1352,the ministry of health
1353,the ministry
1354,health
1355,1961
1356,the ' gadabout
1357,chair
1358,italian
1359,mickey
1360,the italian fantasy comic saga
1361,wizards
1362,melbourne
1363,mickey mouse
1364,annual
1365,moomba
1366,the annual moomba festival street procession
1367,some melburnian
1368,a ' home - grow ' choice
1369,a girl
1370,australian newspaper
1371,patricia o'carroll
1372,disneyland
1373,disney
1374,disneyland 's disney
1375,parade show
1376,the mouse
1377,sylvester stallone 's
1378,sylvester stallone 's character
1379,the malfunction ai
1380,control
1381,topolino in italy from 1932 on
1382,topolino
1383,italy
1384,the main attraction
1385,comic magazine
1386,pluto
1387,mork
1388,the future dwarf planet
1389,a mickey mouse planet
1390,the same name
1391,mickey 's pet dog
1392,mystery magazine
1393,mm mickey
1394,the main character
1395,the 50 great cartoons
1396,the great cartoon
1397,mickey 's cartoon
1398,the book
1399,the film
1400,the clock cleaners
1401,the brave little tailor
1402,the steamboat willie
1403,the band concert
1404,-PRON- white glove
1405,the opry house
1406,the first time
1407,supposedly one reason
1408,the white glove
1409,the character ' hand
1410,the glove ' fabric
1411,the digit
1412,the three line
1413,the back
1414,mickey 's glove
1415,darts
1416,another comic book
1417,sameer
1418,arab
1419,the arab world
1420,a comic book
1421,egypt
1422,-PRON- name
1423,the comic
1424,nahdat
1425,""" nahdat masr"
1426,a big hit
1427,dar al - hilal
1428,mickey 's comic
1429,several specific attraction
1430,the disney park
1431,a themed land
1432,a recreation
1433,mickey 's neighborhood
1434,toontown
1435,mickey 's toontown
1436,guest
1437,minnie
1438,donald duck 's
1439,goofy
1440,mickey or minnie 's house
1441,donald duck 's boat
1442,goofy 's garage
1443,building
1444,a cartoon style
1445,a common place
1446,the character
1447,microsoft
1448,software company
1449,mickeysoft
1450,video
1451,a mickey
1452,a christmas
1453,a horse
1454,1995
1455,wrist alarm clock
1456,wrist watch
1457,1933
1458,the ingersoll watch company
1459,the second
1460,a turn disk
1461,the academy award for best animated short film
1462,ten nomination
1463,the academy award
1464,best animated short film
1465,squatter 's rights ( 1946 )
1466,squatter 's rights
1467,runaway brain
1468,2013
1469,mickey 's christmas carol
1470,the only film
1471,the award
1472,walt disney
1473,an honorary academy award
1474,1932
1475,1932 walt disney
1476,two film
1477,a live - action / cgi hybrid film
1478,magic kingdom
1479,the walt disney world resort
1480,the magic kingdom theme park
1481,jon favreau
1482,disney 's ' magic kingdom
1483,walt disney animation studios
1484,burny mattinson
1485,walt disney animation studios veteran burny mattinson
1486,a film idea
1487,donald
1488,miramax
1489,the subject matter
1490,such a class
1491,any importance
1492,the labor market
1493,very little effort
1494,school
1495,"a "" mickey mouse course"
1496,a class
1497,college major
1498,degree
1499,a slang expression
1500,poor quality
1501,excellent or very good ( rhyme slang
1502,grouse
1503,the three usage
1504,mickey 's version
1505,comic
1506,animation
1507,-PRON- cartoon short
1508,adventure
1509,the comic strip
1510,comedy
1511,this adventurous version
1512,later comic book
1513,comic strip
1514,between 1938 and 1940
1515,a redesign
1516,donald duck
1517,the more manic donald duck
1518,the passive mickey
1519,a series
1520,the second half of the 1930
1521,the second half
1522,the 1930
1523,the character goofy
1524,several adventure
1525,the comic trio
1526,1938
1527,mickey 's most critically acclaim film
1528,mickey 's trailer
1529,boat builder
1530,lonesome ghost
1531,clock cleaners
1532,moose hunter
1533,fire brigade
1534,mickey 's fire brigade
1535,the valiant little tailor
1536,an academy award
1537,brave little tailor
1538,ub iwerks
1539,the head animator
1540,dick lundy
1541,wilfred jackson
1542,les clark
1543,johnny cannon
1544,iwerk
1545,a distributor
1546,the third mickey cartoon
1547,willie
1548,-PRON- eye
1549,change
1550,mickey 's appearance
1551,steamboat willies
1552,the time
1553,sound
1554,comedic purpose
1555,most united states movie theater
1556,sound film equipment
1557,most other cartoon studio
1558,silent product
1559,the most prominent animate character
1560,gaucho
1561,-PRON- new release
1562,mickey popularity
1563,gallopin
1564,the gallopin ' gaucho
1565,mickey 's success
1566,both plane crazy gaucho
1567,plane
1568,both plane
1569,silent release
1570,plane crazy gaucho
1571,sound cartoon
1572,the karnival kid
1573,a fourth mickey
1574,production
1575,felix
1576,a close competitor
1577,-PRON- first spoken word
1578,hot dog
1579,pat sullivan
1580,all future felix cartoon
1581,a result
1582,the screen
1583,the german board of film censor
1584,the german board
1585,film censor
1586,a mickey mouse film
1587,world war
1588,the cartoon
1589,a kepi - wear world war
1590,germans
1591,the germans
1592,cat enemy
1593,german
1594,the late anti - german feeling
1595,underground cartoonist
1596,the air pirates
1597,air pirates funnies
1598,a comic
1599,minnie mouse
1600,drug
1601,dan o'neill
1602,cartoonist dan o'neill
1603,explicit sexual behavior
1604,o'neill
1605,the parody
1606,the air pirate
1607,some sort
1608,bizarre concept
1609,the medium
1610,the logical thing
1611,cartoonist
1612,$ 1.9 million
1613,copyright infringement
1614,the outcome
